Change Physical Footprint: Designator=BC1 Old Footprint=ROS-51K101-400A4_V New Footprint=ROS-51K101-400A4_V
Change Physical Footprint: Designator=R1 Old Footprint=2512shuntresistor New Footprint=2512shuntresistor
Change Physical Footprint: Designator=R2 Old Footprint=RESC1608N New Footprint=RESC1608N
Change Physical Footprint: Designator=R3 Old Footprint=RESC1608N New Footprint=RESC1608N
Change Physical Footprint: Designator=R4 Old Footprint=RESC1608N New Footprint=RESC1608N
Change Physical Footprint: Designator=R5 Old Footprint=RESC1608N New Footprint=RESC1608N
Change Physical Footprint: Designator=R6 Old Footprint=RESC1608N New Footprint=RESC1608N
Change Physical Footprint: Designator=R7 Old Footprint=RESC1608N New Footprint=RESC1608N
Change Physical Footprint: Designator=R8 Old Footprint=RESC1608N New Footprint=RESC1608N
Change Physical Footprint: Designator=R9 Old Footprint=RESC2012N New Footprint=RESC2012N
Change Physical Footprint: Designator=R10 Old Footprint=RESC1608N New Footprint=RESC1608N
Change Physical Footprint: Designator=R11 Old Footprint=RESC1608N New Footprint=RESC1608N
Change Physical Footprint: Designator=R12 Old Footprint=RESC1608N New Footprint=RESC1608N
Change Physical Footprint: Designator=R13 Old Footprint=RESC1608N New Footprint=RESC1608N
Change Physical Footprint: Designator=R14 Old Footprint=RESC1608N New Footprint=RESC1608N
Change Physical Footprint: Designator=R15 Old Footprint=RESC1608N New Footprint=RESC1608N
Change Physical Footprint: Designator=R16 Old Footprint=3314G-1-102E New Footprint=3314G-1-102E
Change Physical Footprint: Designator=U2 Old Footprint=SOT95P280X130-5N New Footprint=SOT95P280X130-5N
Change Physical Footprint: Designator=U3 Old Footprint=SOT23 New Footprint=SOT23
